Naslov,Avtorji,Mentorji,Komentorji,Ključne besede,Leto,Jezik,Organizacija,Dolžina uvoda,Dolžina glavnega dela,Ogledi,Prenosi 
Učinki kombinacije nizkih odmerkov fluvastatina in valsartana na arterijsko steno pri moških srednjih let po srčnem infarktu ali z zmernim srčno-žilnim tveganjem,"Turk Veselič, Martina","Šabovič, Mišo",,/; /,2019,Slovenski jezik,MF - Medicinska fakulteta,,,1743,248
Tveganja in negativni učinki zunanjega izvajanja dejavnosti v slovenskih majhnih podjetjih,"Smogavec, Tadej","Peljhan, Darja",,Slovenija; majhna podjetja; majhna in srednja podjetja; zunanje izvajanje dejavnosti; zadovoljstvo; tveganje; okolje; raziskave; analiza; Slovenia; small enterprises; SMEs; outsourcing; satisfaction; risk; environment; research; analysis,2019,Slovenski jezik,EF - Ekonomska fakulteta,6,188,1947,198
Submikronsko zaznavanje temperaturnih polj pri nestacionarnem prenosu toplote,"Sedmak, Ivan","Golobič, Iztok",,temperaturno odvisna fluorescence; temperaturno polje; nestacionarni prenos toplote; fluorescenčna termometrija; mehurčkasto vrenje; submikrometrska krajevna ločljivost; temperature-dependent fluorescence; temperature field; transient heat transfer; fluorescence thermometry; nucleate boiling; submicron spatial resolution,2019,Slovenski jezik,FS - Fakulteta za strojništvo,28,115,3342,468
Optimization of forest roads' network in hilly and mountainous natural forests in Northern Bosnia and Herzegovina,"Petković, Vladimir","Potočnik, Igor",,natural forests; forest accessibility; forest roads designing; DTM; AHP; GIS; naravni gozdovi; odprtost gozdov; načrtovanje gozdnih cest; DMR; AHP; GIS,2019,Angleški jezik,BF - Biotehniška fakulteta,,,2955,414
Pharmacogenetic markers of adverse events of dopaminergic treatment in Parkinson's disease,"Redenšek, Sara","Dolžan, Vita","Trošt, Maja",Parkinson's disease; pharmacogenetics; dopaminergic treatment; adverse events; genetic polymorphisms; personalized medicine; clinical-pharmacogenetic models; Parkinsonova bolezen; farmakogenetika; dopaminergično zdravljenje; neželeni učinki; genetski polimorfizmi; personalizirana medicina; klinično-farmakogenetski modeli,2019,Angleški jezik,MF - Medicinska fakulteta,,,2041,356
Načrtovanje in razvoj peptidnih ligandov za afinitetno čiščenje protiteles,"Kruljec, Nika","Bratkovič, Tomaž",,afinitetna kromatografija; izolacija in čiščenje protiteles; peptidi; predstavitev na bakteriofagu; affinity chromatography; isolation and purification of antibodies; peptides; phage display,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2173,433
NAPOVEDNA VREDNOST MR DIFUZIJE IN PERFUZIJE ZA SPREMLJANJE ODGOVORA LOKALNO IN/ ALI PODROČNO NAPREDOVALEGA PLOŠČATOCELIČNEGA KARCINOMA GLAVE IN VRATU NA ZDRAVLJENJE S SOČASNO RADIOKEMOTERAPIJO,"Garbajs, Manca","Šurlan Popovič, Katarina","Strojan, Primož",MR difuzijsko slikanje; MR perfuzijsko slikanje; Odgovor na zdravljenje; Ploščatocelični karcinom glave in vratu; Sočasna radiokemoterapija; MR Diffusion-Weighted imaging; Dynamic contrast-enhanced MRI; Treatment response; Squamous cell head and neck cancer; Concomitant chemoradiotherapy,2019,Slovenski jezik,MF - Medicinska fakulteta,,,4089,391
KLINIČNA UPORABNOST MOLEKULARNIH METOD DOKAZOVANJA POVZROČITELJEV INFEKCIJSKIH DRISK PRI ODRASLIH,"Kotar, Tadeja","Lejko Zupanc, Tatjana","Pirš, Mateja",infekcijska driska; molekularna diagnostika; Ct vrednosti; odrasli; bris rektuma; infectious diarrhea; molecular diagnostics; Ct values; adults; rectal swab,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2099,414
Metilacijski in transkriptomski biooznačevalci pri Huntingtonovi bolezni,"Zadel, Maja","Peterlin, Borut",,Huntingtonova bolezen; transkriptomska analiza; analiza metilacije; polna kri; biooznačevalci; patogenetski mehanizmi; Huntington’s disease; transcriptomic analysis; methylation analysis; whole blood; biomarkers; pathogenetic mechanisms,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,2694,441
"PROFILIRANJE UPORABNIKOV V SISTEMU IP TELEVIZIJE NA OSNOVI VSEBINE, KONTEKSTA IN IMPLICITNEGA ODZIVA","KREN, MATEJ","Kos, Andrej","Sedlar, Urban",televizija na osnovi protokola IP (IPTV); implicitni uporabniški odziv; eksplicitni uporabniški odziv; profiliranje uporabnikov; modeliranje mnenja; modeliranje interesa.; IPTV; implicit user feedback; explicit user feedback; viewership profiling; opinion modeling; interest modeling.,2019,Slovenski jezik,FE - Fakulteta za elektrotehniko,,,1982,431
"Genetske značilnosti otrok s periodičnim vročinskim sindromom z aftami, tonzilitisom in adenitisom","Perko, Daša","Avčin, Tadej","Debeljak, Maruša",PFAPA; avtoinflamatorne bolezni; periodični vročinski sindrom; ponavljajoče vročine; afte; tonzilitis; adenitis; klinične značilnosti; genetske značilnosti; genetsko ozadje; inflamasom; spremembe z nizko penetranco; variabilna ekspresivnost; PFAPA; autoinflammatory diseases; periodic fever syndrome; recurrent fever; aphthae; pharyngitis; adenitis; clinical characteristics; genetic characteristics; genetic background; inflammasome; low-penetrant variants; variable expressivity,2019,Slovenski jezik,MF - Medicinska fakulteta,,,4715,632
"Dejavniki tveganja pri materah, odvisnih od prepovedanih drog","Mejak, Vesna","Leskošek, Vesna","Rener, Tanja",odvisnosti; mamila; ženske; ranljive skupine; nosečnost; materinstvo; dejavniki tveganja; stigmatizacija; družbena pomoč; disertacije,2019,Slovenski jezik,FDV - Fakulteta za družbene vede,,,2793,513
Commercial diplomacy as an instrument for enhancing national economy internationalisation,"Bellina, Željko","Udovič, Boštjan","Rašković, Matevž",ekonomska diplomacija; mednarodni ekonomski odnosi; mednarodno ekonomsko sodelovanje; zunanja politika; srbska diplomacija,2019,Angleški jezik,FDV - Fakulteta za družbene vede,,,2954,629
Statistične metode za analizo intenzivnih longitudinalnih podatkov v medicini,"Ahlin, Črt","Lusa, Lara",,intenzivno longitudinalni podatki; periodičnost; vreča vzorcev; intensive longitudinal data; periodicity; bag of patterns,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2290,294
The use of ultrasonic measurement in determining the quality of natural stone blocks – limestone,"Kos, Andrej","Kortnik, Jože",,dimension stone; ultrasonic method; stone blocks; compactness classification; naravni kamen; ultrazvočna metoda; kamniti bloki; klasifikacija kompaktnosti,2019,Angleški jezik,NTF - Naravoslovnotehniška fakulteta,,,1786,348
"Dejavniki, ki vplivajo na rezultat presejalnega imunokemičnega testa ter primeri intervalnih rakov debelega črevesa in danke v slovenskem presejalnem programu","Novak Mlakar, Dominika","Krajc, Mateja",,presejalni program za raka debelega črevesa in danke; imunokemični test na prikrito krvavitev v blatu; intervalni rak; rak; odkrit v presejanju; rak med neodzivniki; občutljivost testa; colorectal cancer screening; faecal immunochemical blood test; interval cancer; screen detected cancer; cancer in non-responders; test sensitivity,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2062,456
Zlorabe prevladujočega položaja in modernizacija uporabe 102. člena PDEU,"Bernard, Luka","Grilc, Peter","Zajc, Katarina",izključevalne zlorabe prevladujočega položaja; 102. člen PDEU; formalistični pristop; presoja po učinku; škoda potrošnikom; exclusionary abuses of dominant position; Article 102 TFEU; form-based approach; effects-based approach; consumer harm,2019,Slovenski jezik,PF - Pravna fakulteta,,,4571,763
Model Funkcionalne zahteve za bibliografske zapise kot osnova metapodatkovnega okvira za knjižni trg,"Jug, Tjaša","Žumer, Maja",,metapodatkovno okvir; knjige; bibliografski opis; konceptualni modeli; FRBR; LRM,2019,Slovenski jezik,FF - Filozofska fakulteta,,,2784,656
Ovrednotenje izvedljivosti remediacije s kelatnimi ligandi in ocena tveganj remediiranih tal,"Jež, Erika","Leštan, Domen",,remediacija tal; EDTA; zemljevid onesnaženosti; svinec v krvi otrok; biodosegljivost svinca; ostanek EDTA; sekundarne emisije EDTA; Soil remediation; EDTA; soil pollution map; children lead poisoning; lead bio-accessibility; EDTA retention; secondary emissions of EDTA,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,1464,311
VPLIV DEKSMEDETOMIDINA IN LIDOKAINA NA OBOPERATIVNO PORABO OPIOIDOV PRI LAPAROSKOPSKIH RESEKCIJAH ČREVESA: RANDOMIZIRANA KONTROLIRANA KLINIČNA RAZISKAVA,"Andjelković, Lea","Novak Jankovič, Vesna",,analgezija; spoznavna sposobnost; deksmedetomidin; laparoskopija; lidokain; nevralgija; analgesia; cognitive function; dexmedetomidine; laparoscopy; lidocaine; neuralgia,2019,Slovenski jezik,MF - Medicinska fakulteta,,,1683,337
Protection of National Minorities in the Balkans: the Case of Macedonian Minorities,"Tasev, Donche","Sancin, Vasilka",,National minorities; protection of minorities; minority identity; FCNM; ECHM; ECtHR; Macedonian minorities; right to mother tongue education; linguistic rights; participatory rights; narodne manjšine; varstvo manjšin; identitete manjšin; OKVNM; ESČP; EKČP; makedonske manjšine; pravica do izobraževanja v maternem jeziku; jezikovne pravice; pravica do sodelovanja v javnem in političnem življenju,2019,Angleški jezik,PF - Pravna fakulteta,,,2841,452
VPLIV ZAVIRALCEV TUMOR NEKROZNEGA FAKTORJA ALFA NA DENDRITIČNE CELICE V ČREVESNI SLUZNICI BOLNIKOV S KRONIČNO VNETNO ČREVESNO BOLEZNIJO,"Smrekar, Nataša","Ferkolj, Ivan","Kopitar, Andreja Nataša",kronična vnetna črevesna bolezen/ zaviralci TNF alfa / dendritične celice; inflammatory bowel disease/ TNF alpha inhibitors/ dendritic cells,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2968,330
Pravni vidiki biomedicinske pomoči pri spočetju,"Vrtačnik, Urban","Žnidaršič Skubic, Viktorija",,OBMP; zunajtelesna oploditev; medicinska neučinkovitost; svoboda odločanja o rojstvih otrok; zasebno in družinsko življenje; pravica do postopkov OBMP; istospolni pari; LGBT; surogatno materinstvo; posthumnost; ZZNPOB; ZKVČTC; MAR; IVF; futility; freedom of procreation; private and family life; homosexual couples; LGBT surrogate agreements; posthumous; ZZNPOB; ZKVČTC,2019,Slovenski jezik,PF - Pravna fakulteta,,,3677,2643
Ultrazvočna ocena hemodinamičnega stanja in srčne funkcije pri težki preeklampsiji,"Ambrožič, Jana","Lučovnik, Miha","Prokšelj, Katja",preeclampsia; echocardiography; diastolic function; lung ultrasound; fluid responsiveness; preeklampsija; ehokardiografija; diastolična funkcija; ultrazvočna preiskava pljuč; odzivnost na tekočino,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2209,458
Preprečevanje športnih poškodb pripadnikov Slovenske vojske med izvajanjem kondicijske vadbe,"Kovčan, Bogdan","Hadžić, Vedran","Vodičar, Janez",poškodbe; Slovenska vojska; gibalne sposobnosti; dejavniki tveganja; kondicijska vadba; Injuries; Slovenian Armed Forcec; physical readiness; risk factors; physical training.,2019,Slovenski jezik,FŠ - Fakulteta za šport,,,2661,464
Learning of text-level discourse parsing,"Weiss, Gregor","Bajec, Marko",,natural language processing; shallow discourse relations; recurrent neural networks; attention mechanisms; language-independent; no external resources; procesiranje naravnega jezika; plitke diskurzne relacije; rekurentne nevronske mreže; mehanizmi pozornosti; jezikovna neodvisnost; brez zunanjih virov,2019,Angleški jezik,FRI - Fakulteta za računalništvo in informatiko,,,1855,336
Emotion Recognition on Twitter Using Neural Networks,"Colnerič, Niko","Demšar, Janez",,emotion recognition; text mining; Twitter; recurrent neural networks; convolutional neural networks; prepoznavanje čustev; tekstovna analiza; Twitter; rekurenčne nevronske mreže; konvolucijske nevronske mreže,2019,Angleški jezik,FRI - Fakulteta za računalništvo in informatiko,,,3986,425
TRACEABILITY TO INTERNATIONAL SYSTEM OF UNITS (SI) OF LIQUID AND GAS FLOW MEASUREMENTS – EMPHASIS TO SPECIFIC AND UNSOLVED PROBLEMS,"DŽEMIĆ, ZIJAD","Drnovšek, Janko","Širok, Branko",measurement unit; measurement; calibration; verification; result of a measurement; traceability; uncertainty of measurement; metrology; measurement method; measurement procedure; measurement result; measurement accuracy; measurement trueness; measurement precision; measurement error; merska enota; meritev; kalibracija; validacija; merilni rezultat; sledljivost; merilna negotovost; meroslovje; merilna metoda; merilni postopek; merilni rezultat; točnost merjenja; merilna točnost; pravilnost merjenja; natančnost merjenja; merilna napaka,2019,Angleški jezik,FE - Fakulteta za elektrotehniko,,,1759,386
Modifikacija metode ocene tveganja za zdravje ljudi na primeru mehčanja pitne vode,"Jereb, Gregor","Poljšak, Borut","Eržen, Ivan",pitna voda; kemično mehčanje; ocena tveganja za zdravje; natrijev polifosfat; drinking water; chemical softening; health risk assessment; sodium polyphosphate,2019,Slovenski jezik,MF - Medicinska fakulteta,,,2953,476
Mehanizmi aktivacije naravne imunosti celic črevesnega epitelija z izbranimi probiotičnimi sevi bakterij,"Paveljšek, Diana","Rogelj, Irena","Jerala, Roman",probiotiki; Lactobacillus; Bifidobacterium; transkriptom; signalne poti; črevesna epitelna bariera; imunski odziv; Toll-u podobni receptor; protein-kinaza C; fosfatidil inozitol 3-kinaza; tesni stiki; aktinski citoskelet; apoptoza; probiotics; Lactobacillus; Bifidobacterium; transcriptome; signalling pathways; intestinal epithelial barrier; immune response; Toll-like receptor; protein kinase C; phosphatidylinositol 3-kinase; actin cytoskeleton; apoptosis,2019,Slovenski jezik,BF - Biotehniška fakulteta,,,2291,471
Unified approach to scale transition in simulations of microstructure evolution using phase-field crystal model,"Berčič, Matjaž","Kugler, Goran",,phase-field crystal; amplitude expansion; grain growth; microstructure modelling; fazno polje kristala; amplitudni razvoj; rast zrn; modeliranje mikrostrukture,2019,Angleški jezik,NTF - Naravoslovnotehniška fakulteta,,,2906,507
Proces pomoči na podlagi potreb družin z otroki s posebnimi potrebami,"Čergan Ristić, Aleksandra","Ozbič, Martina","Kompan Erzar, Katarina",otrok s posebnimi potrebami; child with special needs,2019,Slovenski jezik,PEF - Pedagoška fakulteta,,,1846,407
Turbulent hydrogen combustion modelling in experimental containment facility,"Holler, Tadej","Kljenak, Ivo",,nuclear safety; hydrogen combustion; turbulent flame speed; laminar flame speed; eddy break-up; jedrska varnost; zgorevanje vodika; turbulentna hitrost plamena; laminarna hitrost plamena; razpad vrtincev,2019,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,6762,434
Načrtovanje cepljenega superantigena za imunoterapijo raka,"Golob Urbanc, Anja","Jerala, Roman",,superantigen; cepljeni proteini; protitelesa; aktivacija celic T; imunoterapija raka; aktivacija limfocitov; antigeni novotvorb; proteinski inženiring; novotvorbe; vezava proteinov; T-limfociti; monoklonska protitelesa; biokemija; superantigen; split proteins; antibodies; T cell activation; cancer immunotherapy; Lymphocyte activation; antigens neoplasm; protein engineering; neoplasms; protein binding; T-lymphocytes; antibodies monoclonal; biochemistry,2019,Slovenski jezik,MF - Medicinska fakulteta,,,3220,565
Učinkovitost elektrokemoterapije v zdravljenju raka glave in vratu,"Grošelj, Aleš","Strojan, Primož","Serša, Gregor",elektrokemoterapija; rak glave in vratu; bleomicin; elektroporacija; electrochemotherapy; head and neck cancer; bleomycin; electroporation,2019,Slovenski jezik,MF - Medicinska fakulteta,,,3167,1305
ON-LINE POWER-SYSTEM STABILITY ASSESSMENT USING PATTERN RECOGNITION METHODS,"DIMITROVSKA, TEODORA","Mihalič, Rafael",,electrical power-system; transient stability assessment; pattern recognition; principal comoponents analysis; euclidean distance; contingency screening method; algorithm for synthesis; elektroenergetski sistemi; ocene tranzientne stabilnosti EES; razpoznavanje vzorcev; metoda glavnih koponenet; evklidska razdalja; kritični čas odstranitev motnje; metoda selekcijo motenj; algoritem za združevanje metod,2019,Angleški jezik,FE - Fakulteta za elektrotehniko,,,2456,467
